TEMP=256

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_2.0_BETA_0.01_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.72558, label_top_5_accuracy = 0.90198, loss = 1.5553308, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_5.0_BETA_0.01_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.7226, label_top_5_accuracy = 0.9008, loss = 1.5155789, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_3.0_BETA_0.02_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.7227, label_top_5_accuracy = 0.9026, loss = 1.5762701, regularization_loss = 0.0

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_3.0_BETA_0.05_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.71726, label_top_5_accuracy = 0.89686, loss = 1.6178995, regularization_loss = 0.0

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_3.0_BETA_0.005_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.71776, label_top_5_accuracy = 0.9007, loss = 1.5661987, regularization_loss = 0.0 

